Time,avgI1rd,avgI2rd,avgDrd
6.733333e+01,2.799023e+02,2.698325e+02,2.656201e+02
6.750000e+01,2.800251e+02,2.701649e+02,2.659704e+02
6.766667e+01,2.801052e+02,2.703928e+02,2.663148e+02
6.783333e+01,2.802228e+02,2.706999e+02,2.665747e+02
6.800000e+01,2.802910e+02,2.709538e+02,2.668664e+02
6.816667e+01,2.803795e+02,2.712162e+02,2.671436e+02
6.833333e+01,2.805259e+02,2.715136e+02,2.674705e+02
6.850000e+01,2.806416e+02,2.717649e+02,2.677221e+02
6.866667e+01,2.807165e+02,2.720160e+02,2.679877e+02
6.883333e+01,2.808151e+02,2.721845e+02,2.682762e+02
6.900000e+01,2.808695e+02,2.724089e+02,2.685074e+02
6.916667e+01,2.809885e+02,2.726665e+02,2.687101e+02
6.933333e+01,2.810480e+02,2.728870e+02,2.689498e+02
6.950000e+01,2.811431e+02,2.730759e+02,2.691752e+02
6.966667e+01,2.812348e+02,2.733119e+02,2.693756e+02
6.983333e+01,2.812925e+02,2.735633e+02,2.695935e+02
7.000000e+01,2.813943e+02,2.737552e+02,2.698449e+02
7.016667e+01,2.814317e+02,2.740115e+02,2.700889e+02
7.033333e+01,2.815182e+02,2.742588e+02,2.702833e+02
7.050000e+01,2.815758e+02,2.744398e+02,2.705270e+02
7.066667e+01,2.816403e+02,2.746711e+02,2.706752e+02
7.083333e+01,2.816877e+02,2.748518e+02,2.709362e+02
7.100000e+01,2.817250e+02,2.750620e+02,2.711387e+02
7.116667e+01,2.817843e+02,2.752008e+02,2.713113e+02
7.133333e+01,2.818182e+02,2.754176e+02,2.715171e+02
7.150000e+01,2.818589e+02,2.756342e+02,2.716665e+02
7.166667e+01,2.818673e+02,2.757658e+02,2.718650e+02
